Stadt;Bundesland;aRC_Time1;eRC_Time1;reRCt1;source1;aRC_Time2;eRC_Time2;reRCt2;source2;aRC_Time3;eRC_Time3;reRCt3;source3;;;
Hartheim am Rhein;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Heidelberg;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Heilbronn;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Heimsheim;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Heitersheim;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Hemsbach;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Iffezheim;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Kandern;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Kappel-Grafenhausen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Karlsruhe;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
