Stadt;Bundesland;aRC_Time1;eRC_Time1;reRCt1;source1;aRC_Time2;eRC_Time2;reRCt2;source2;aRC_Time3;eRC_Time3;reRCt3;source3;;;
Dossenheim;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Durmersheim;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Edingen-Nackarhausen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Eggenstein-Leopoldshafen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Eichstetten am Kaiserstuhl;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Eigeltingen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Eislingen/Fils;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Emmendingen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Eningen unter Achalm;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Eppelheim;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Esslingen am Neckar;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Ettlingen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Fellbach;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Filderstadt;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Fischingen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Freiberg am Neckar;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Freiburg im Breisgau;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Friedrichshafen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Grenzach-Wyhlen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Güglingen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Gundelfingen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
